,range,best_score,random_score,model1_punish_0,model1_punish_0.04,model1_punish_0.06,model1_punish_0.08,model1_punish_0.1,model1_punish_0.2,model2_punish_0,model2_punish_1,model2_punish_5,model2_punish_10,model3_punish_0,model3_punish_1,model3_punish_5,model4_punish_0,model3_punish_0.1,model3_punish_0.5,model3_punish_3,model1_punish_0.01,model1_punish_0.02,model1_punish_0.03,model1_punish_0.05,model3_punish_0.8,model3_punish_1.2,model2_punish_0.2,model2_punish_0.4,model2_punish_0.6,model2_punish_0.8,model2_punish_2
10,"('2019-11-05', '2019-11-14')",-0.09774812676740068,-0.12947055651134848,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.09975213686885234,-0.099752138,-0.099752138,-0.10683784800000001,-0.09975213686885234,-0.099752138,-0.099752138,-0.10683784800000001,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138,-0.099752138
11,"('2019-11-06', '2019-11-15')",-0.09962117172262402,-0.1338487065968968,-0.09962117172262402,-0.09962117172262402,-0.1078488585138104,-0.1078488585138104,-0.1078488585138104,-0.1078488585138104,-0.09962117172262402,-0.1078488585138104,-0.1078488585138104,-0.1078488585138104,-0.099621174,-0.099621174,-0.10670688400000003,-0.09962117172262402,-0.099621174,-0.099621174,-0.10670688400000003,-0.099621174,-0.099621174,-0.099621174,-0.10784886,-0.099621174,-0.099621174,-0.099621174,-0.099621174,-0.099621174,-0.099621174,-0.10784886
12,"('2019-11-07', '2019-11-16')",-0.10149863063028686,-0.1443808452147551,-0.10668673673591304,-0.1060271582097744,-0.1060271582097744,-0.1060271582097744,-0.1060271582097744,-0.1097263174214732,-0.10668673673591304,-0.1060271582097744,-0.1097263174214732,-0.1272246769111247,-0.106686738,-0.106686738,-0.10858434199999999,-0.10668673673591304,-0.106686738,-0.106686738,-0.11377244800000001,-0.106686738,-0.106686738,-0.10602716,-0.10602716,-0.106686738,-0.106686738,-0.10668673799999999,-0.10668673799999999,-0.10668673799999999,-0.10668673799999999,-0.10602716000000001
13,"('2019-11-08', '2019-11-17')",-0.10858434091969088,-0.16016883048995365,-0.10924391944582952,-0.11377244702531705,-0.10858434091969088,-0.10858434091969088,-0.10858434091969088,-0.10858434091969088,-0.10924391944582952,-0.11377244702531705,-0.12978185962104122,-0.12978185962104122,-0.10924392,-0.11377244800000001,-0.10858434199999999,-0.10924391944582952,-0.10924392,-0.10924392,-0.11377244800000001,-0.11377244800000001,-0.11377244800000001,-0.11377244800000001,-0.11377244800000001,-0.10924392,-0.11377244800000001,-0.10924392000000001,-0.113772448,-0.113772448,-0.113772448,-0.113772448
14,"('2019-11-09', '2019-11-18')",-0.12390507651921905,-0.17627578870650096,-0.13687490842938302,-0.12390507651921905,-0.12390507651921905,-0.1362153299032444,-0.1362153299032444,-0.1362153299032444,-0.13687490842938302,-0.12390507651921905,-0.1362153299032444,-0.1611929862552963,-0.13687491000000002,-0.12390507800000003,-0.13790379000000005,-0.13687490842938302,-0.13687491000000002,-0.13687491000000002,-0.12390507800000003,-0.12390507800000003,-0.12390507800000003,-0.12390507800000003,-0.12390507800000003,-0.13687491000000002,-0.12390507800000003,-0.13687491000000002,-0.12390507800000002,-0.12390507800000002,-0.12390507800000002,-0.12390507800000002
15,"('2019-11-10', '2019-11-19')",-0.1430985851191177,-0.1936276404057108,-0.15775687586768394,-0.1430985851191177,-0.1430985851191177,-0.1430985851191177,-0.1430985851191177,-0.15918897615384464,-0.15775687586768394,-0.1430985851191177,-0.1430985851191177,-0.15918897615384464,-0.15775687600000002,-0.144787044,-0.16087743599999998,-0.15775687586768394,-0.15775687600000002,-0.144787044,-0.144787044,-0.143098586,-0.143098586,-0.143098586,-0.143098586,-0.144787044,-0.144787044,-0.15775687600000002,-0.143098586,-0.143098586,-0.143098586,-0.143098586
16,"('2019-11-11', '2019-11-20')",-0.15264025560474476,-0.19839847564852428,-0.15432871444314705,-0.15775687586768394,-0.15775687586768394,-0.15984855467998327,-0.15984855467998327,-0.15984855467998327,-0.15432871444314705,-0.15775687586768394,-0.15984855467998327,-0.15984855467998327,-0.154328714,-0.154328714,-0.161537014,-0.15432871444314705,-0.154328714,-0.154328714,-0.161537014,-0.15775687600000002,-0.15775687600000002,-0.15775687600000002,-0.15775687600000002,-0.154328714,-0.154328714,-0.15775687600000002,-0.15775687600000002,-0.15775687600000002,-0.15775687600000002,-0.15775687600000002
17,"('2019-11-12', '2019-11-21')",-0.15015280066430015,-0.197154748178302,-0.15526942092723933,-0.15526942092723933,-0.15526942092723933,-0.16153701351838556,-0.16153701351838556,-0.16153701351838556,-0.15526942092723933,-0.15432871444314705,-0.16153701351838556,-0.16153701351838556,-0.15526942000000002,-0.154328714,-0.161537014,-0.15526942092723933,-0.15526942000000002,-0.154328714,-0.17326707000000002,-0.15526942000000002,-0.15526942000000002,-0.15526942000000002,-0.15526942000000002,-0.154328714,-0.154328714,-0.15526942000000002,-0.15526942000000002,-0.15526942000000002,-0.15526942000000002,-0.154328714
18,"('2019-11-13', '2019-11-22')",-0.15015280066430015,-0.20751399225143707,-0.15015280066430015,-0.15526942092723933,-0.15526942092723933,-0.15432871444314705,-0.15432871444314705,-0.16233980331722506,-0.15015280066430015,-0.15432871444314705,-0.1732670706662049,-0.16233980331722506,-0.15015279999999998,-0.154328714,-0.17326707000000002,-0.15015280066430015,-0.15526942000000002,-0.154328714,-0.17326707000000002,-0.15526942000000002,-0.15526942000000002,-0.15526942000000002,-0.15526942000000002,-0.154328714,-0.154328714,-0.15526942000000002,-0.15526942000000002,-0.15526942000000002,-0.15526942000000002,-0.154328714
19,"('2019-11-14', '2019-11-23')",-0.15956757992818252,-0.21222138188337825,-0.15956757992818252,-0.1637434937070294,-0.16933961899235395,-0.16933961899235395,-0.1764100013823397,-0.19135859115770565,-0.15956757992818252,-0.1637434937070294,-0.19534835760539754,-0.19135859115770565,-0.15956758,-0.16374349400000002,-0.18268185,-0.15956757992818252,-0.1646842,-0.16374349400000002,-0.187337268,-0.1646842,-0.1646842,-0.1646842,-0.169339618,-0.16374349400000002,-0.16374349400000002,-0.1646842,-0.1646842,-0.1646842,-0.1646842,-0.163743494
20,"('2019-11-15', '2019-11-24')",-0.16624746633932866,-0.2155613250889513,-0.16624746633932866,-0.17042338011817554,-0.1760195054035001,-0.1760195054035001,-0.18308988779348584,-0.2280663046575769,-0.16624746633932866,-0.17042338011817554,-0.21311771488221093,-0.2280663046575769,-0.16624746599999998,-0.17042338,-0.189361736,-0.16624746633932866,-0.17136408600000003,-0.17042338,-0.194017154,-0.17136408600000003,-0.17136408600000003,-0.17136408600000003,-0.17601950399999994,-0.17042338,-0.17042338,-0.171364086,-0.171364086,-0.171364086,-0.171364086,-0.17042337999999999
21,"('2019-11-16', '2019-11-25')",-0.1627022407710277,-0.21378871230480084,-0.1627022407710277,-0.17247427983519914,-0.17247427983519914,-0.17247427983519914,-0.1915748395749444,-0.2369483966170653,-0.1627022407710277,-0.1668781545498746,-0.21091033597603207,-0.2369483966170653,-0.16270224000000005,-0.166878154,-0.191412634,-0.1627022407710277,-0.16781886,-0.166878154,-0.190471928,-0.16781886,-0.16781886,-0.16781886,-0.17247427799999998,-0.166878154,-0.18581651,-0.16781886000000001,-0.16781886000000001,-0.16781886000000001,-0.16781886000000001,-0.19047192799999998
22,"('2019-11-17', '2019-11-26')",-0.14077298215151696,-0.20073612610562205,-0.14171368863560924,-0.14636910743684145,-0.14636910743684145,-0.14636910743684145,-0.16546966717658676,-0.23277248283821844,-0.14171368863560924,-0.14077298215151696,-0.2108432242187077,-0.22074230548845888,-0.141713688,-0.14077298200000002,-0.16530746200000004,-0.14171368863560924,-0.141713688,-0.14077298200000002,-0.16436675600000006,-0.141713688,-0.141713688,-0.141713688,-0.146369106,-0.14077298200000002,-0.159711338,-0.141713688,-0.141713688,-0.141713688,-0.141713688,-0.16436675600000003
23,"('2019-11-18', '2019-11-27')",-0.11757876779879432,-0.18166472404157769,-0.11757876779879432,-0.12317489308411884,-0.12317489308411884,-0.13426436394978608,-0.14133474633977186,-0.196835340927434,-0.11757876779879432,-0.11757876779879432,-0.18480516357767449,-0.2067344221971852,-0.11757876800000001,-0.11757876800000001,-0.15320271800000002,-0.11757876779879432,-0.11757876800000001,-0.11757876800000001,-0.14117254199999998,-0.11757876800000001,-0.11757876800000001,-0.12317489200000002,-0.12317489200000002,-0.11757876800000001,-0.11757876800000001,-0.117578768,-0.117578768,-0.117578768,-0.117578768,-0.12223418600000002
24,"('2019-11-19', '2019-11-28')",-0.09852195849048964,-0.16580306554977026,-0.09852195849048964,-0.09852195849048964,-0.1105521358402492,-0.10961142935615688,-0.10961142935615688,-0.16563003770063334,-0.09852195849048964,-0.09852195849048964,-0.1777347811876887,-0.1940679145218749,-0.098521958,-0.098521958,-0.15047904199999998,-0.09852195849048964,-0.098521958,-0.098521958,-0.128549784,-0.098521958,-0.098521958,-0.098521958,-0.11055213400000001,-0.098521958,-0.098521958,-0.09852195799999999,-0.09852195799999999,-0.09852195799999999,-0.09852195799999999,-0.09852195799999999
25,"('2019-11-20', '2019-11-29')",-0.09346923467768753,-0.14826279009900664,-0.09346923467768753,-0.09852195849048964,-0.1105521358402492,-0.1105521358402492,-0.10961142935615688,-0.13426436394978608,-0.09346923467768753,-0.09852195849048964,-0.15414100616339865,-0.1627022407710277,-0.093469234,-0.098521958,-0.11055213400000001,-0.09346923467768753,-0.093469234,-0.093469234,-0.098521958,-0.093469234,-0.093469234,-0.093469234,-0.098521958,-0.098521958,-0.098521958,-0.093469234,-0.093469234,-0.093469234,-0.09852195799999999,-0.09852195799999999
26,"('2019-11-21', '2019-11-30')",-0.08384026404468235,-0.13723464601860935,-0.08755514119536231,-0.08755514119536231,-0.09852195849048964,-0.1105521358402492,-0.1105521358402492,-0.12960894514855387,-0.08755514119536231,-0.08755514119536231,-0.13094679181067598,-0.19062902799253634,-0.08755514,-0.08755514,-0.08755514,-0.08755514119536231,-0.08755514,-0.08755514,-0.08755514,-0.08755514,-0.08755514,-0.08755514,-0.098521958,-0.08755514,-0.08755514,-0.08755514,-0.08755514,-0.08755514,-0.08755514,-0.09852195799999999
